Symbol	Description
DAX21	Class III Milk (Pit) {Nov 21}
DAZ19	Class III Milk (Pit) {Dec 19}
DAZ20	Class III Milk (Pit) {Dec 20}
DAZ21	Class III Milk (Pit) {Dec 21}
DD.C	E-Mini Dev. Europe Continuation
DDH20	E-Mini Dev. Europe {Mar 20}
DDH21	E-Mini Dev. Europe {Mar 21}
DDM20	E-Mini Dev. Europe {Jun 20}
DDU20	E-Mini Dev. Europe {Sep 20}
DDZ20	E-Mini Dev. Europe {Dec 20}
DF	Nonfat Dry Milk
DF.C	Nonfat Dry Milk Continuation
DFF20	Nonfat Dry Milk {Jan 20}
DFF21	Nonfat Dry Milk {Jan 21}
DFG20	Nonfat Dry Milk {Feb 20}
DFG21	Nonfat Dry Milk {Feb 21}
DFH20	Nonfat Dry Milk {Mar 20}
DFH21	Nonfat Dry Milk {Mar 21}
DFJ20	Nonfat Dry Milk {Apr 20}
DFJ21	Nonfat Dry Milk {Apr 21}
DFK20	Nonfat Dry Milk {May 20}
DFK21	Nonfat Dry Milk {May 21}
DFM20	Nonfat Dry Milk {Jun 20}
DFM21	Nonfat Dry Milk {Jun 21}
DFN20	Nonfat Dry Milk {Jul 20}
DFN21	Nonfat Dry Milk {Jul 21}
DFQ20	Nonfat Dry Milk {Aug 20}
DFQ21	Nonfat Dry Milk {Aug 21}
DFU20	Nonfat Dry Milk {Sep 20}
DFU21	Nonfat Dry Milk {Sep 21}
DFV20	Nonfat Dry Milk {Oct 20}
DFV21	Nonfat Dry Milk {Oct 21}
DFX20	Nonfat Dry Milk {Nov 20}
DFX21	Nonfat Dry Milk {Nov 21}
DFZ19	Nonfat Dry Milk {Dec 19}
DFZ20	Nonfat Dry Milk {Dec 20}
DFZ21	Nonfat Dry Milk {Dec 21}
DG	Dry Whey
DG.C	Dry Whey Continuation
DGF20	Dry Whey {Jan 20}
DGF21	Dry Whey {Jan 21}
DGG20	Dry Whey {Feb 20}
DGG21	Dry Whey {Feb 21}
DGH20	Dry Whey {Mar 20}
DGH21	Dry Whey {Mar 21}
DGJ20	Dry Whey {Apr 20}
DGJ21	Dry Whey {Apr 21}
DGK20	Dry Whey {May 20}
DGK21	Dry Whey {May 21}
DGM20	Dry Whey {Jun 20}
DGM21	Dry Whey {Jun 21}
DGN20	Dry Whey {Jul 20}
DGN21	Dry Whey {Jul 21}
DGQ20	Dry Whey {Aug 20}
DGQ21	Dry Whey {Aug 21}
DGU20	Dry Whey {Sep 20}
DGU21	Dry Whey {Sep 21}
DGV20	Dry Whey {Oct 20}
DGV21	Dry Whey {Oct 21}
DGX20	Dry Whey {Nov 20}
DGX21	Dry Whey {Nov 21}
DGZ19	Dry Whey {Dec 19}
DGZ20	Dry Whey {Dec 20}
DGZ21	Dry Whey {Dec 21}
DK	Class IV Milk
DK.C	Class IV Milk Continuation
