Symbol	Description
SDK20	Sugar #16 {May 20}
SDK21	Sugar #16 {May 21}
SDN20	Sugar #16 {Jul 20}
SDN21	Sugar #16 {Jul 21}
SDU20	Sugar #16 {Sep 20}
SDU21	Sugar #16 {Sep 21}
SDX20	Sugar #16 {Nov 20}
SDX21	Sugar #16 {Nov 21}
SS	Pound/Swiss
SSH20	Pound/Swiss {Mar 20}
SSM20	Pound/Swiss {Jun 20}
SSU20	Pound/Swiss {Sep 20}
SSZ20	Pound/Swiss {Dec 20}
SY	Pound/Yen
SYH20	Pound/Yen {Mar 20}
SYM20	Pound/Yen {Jun 20}
SYU20	Pound/Yen {Sep 20}
SYZ20	Pound/Yen {Dec 20}
UY	Dollar/Forint
UYH20	Dollar/Forint {Mar 20}
UYM20	Dollar/Forint {Jun 20}
UYU20	Dollar/Forint {Sep 20}
UYZ20	Dollar/Forint {Dec 20}
UZ	Dollar/Koruna
UZH20	Dollar/Koruna {Mar 20}
UZM20	Dollar/Koruna {Jun 20}
UZU20	Dollar/Koruna {Sep 20}
UZZ20	Dollar/Koruna {Dec 20}
YA	Aussie/Yen
YAH20	Aussie/Yen {Mar 20}
YAM20	Aussie/Yen {Jun 20}
YAU20	Aussie/Yen {Sep 20}
YAZ20	Aussie/Yen {Dec 20}
YGF20	Gold mini-sized {Jan 20}
YGG20	Gold mini-sized {Feb 20}
YGG21	Gold mini-sized {Feb 21}
YGH20	Gold mini-sized {Mar 20}
YGJ20	Gold mini-sized {Apr 20}
YGJ21	Gold mini-sized {Apr 21}
YGM20	Gold mini-sized {Jun 20}
YGM21	Gold mini-sized {Jun 21}
YGM22	Gold mini-sized {Jun 22}
YGM23	Gold mini-sized {Jun 23}
YGM24	Gold mini-sized {Jun 24}
YGQ20	Gold mini-sized {Aug 20}
YGQ21	Gold mini-sized {Aug 21}
YGV20	Gold mini-sized {Oct 20}
YGV21	Gold mini-sized {Oct 21}
YGZ19	Gold mini-sized {Dec 19}
YGZ20	Gold mini-sized {Dec 20}
YGZ21	Gold mini-sized {Dec 21}
YGZ22	Gold mini-sized {Dec 22}
YGZ23	Gold mini-sized {Dec 23}
YGZ24	Gold mini-sized {Dec 24}
YIF20	Silver mini-sized {Jan 20}
YIF21	Silver mini-sized {Jan 21}
YIG20	Silver mini-sized {Feb 20}
YIH20	Silver mini-sized {Mar 20}
YIH21	Silver mini-sized {Mar 21}
YIK20	Silver mini-sized {May 20}
YIK21	Silver mini-sized {May 21}
YIN20	Silver mini-sized {Jul 20}
YIN21	Silver mini-sized {Jul 21}
YIN22	Silver mini-sized {Jul 22}
YIN23	Silver mini-sized {Jul 23}
YIN24	Silver mini-sized {Jul 24}
YIU20	Silver mini-sized {Sep 20}
YIU21	Silver mini-sized {Sep 21}
YIZ19	Silver mini-sized {Dec 19}
YIZ20	Silver mini-sized {Dec 20}
YIZ21	Silver mini-sized {Dec 21}
YIZ22	Silver mini-sized {Dec 22}
YIZ23	Silver mini-sized {Dec 23}
YIZ24	Silver mini-sized {Dec 24}
YNH20	Colombian Peso {Mar 20}
YNM20	Colombian Peso {Jun 20}
YNU20	Colombian Peso {Sep 20}
YNZ20	Colombian Peso {Dec 20}
YO	Mexican Peso
YOH20	Mexican Peso {Mar 20}
YOM20	Mexican Peso {Jun 20}
YOU20	Mexican Peso {Sep 20}
YOZ20	Mexican Peso {Dec 20}
YP	Pound/Dollar
YPH20	Pound/Dollar {Mar 20}
YPM20	Pound/Dollar {Jun 20}
YPU20	Pound/Dollar {Sep 20}
YPZ20	Pound/Dollar {Dec 20}
ZGF20	ICE Gold 100-oz {Jan 20}
ZGG20	ICE Gold 100-oz {Feb 20}
ZGG21	ICE Gold 100-oz {Feb 21}
ZGH20	ICE Gold 100-oz {Mar 20}
ZGJ20	ICE Gold 100-oz {Apr 20}
ZGJ21	ICE Gold 100-oz {Apr 21}
ZGM20	ICE Gold 100-oz {Jun 20}
ZGM21	ICE Gold 100-oz {Jun 21}
ZGM22	ICE Gold 100-oz {Jun 22}
ZGM23	ICE Gold 100-oz {Jun 23}
ZGM24	ICE Gold 100-oz {Jun 24}
ZGQ20	ICE Gold 100-oz {Aug 20}
ZGQ21	ICE Gold 100-oz {Aug 21}
ZGV20	ICE Gold 100-oz {Oct 20}
ZGV21	ICE Gold 100-oz {Oct 21}
ZGZ19	ICE Gold 100-oz {Dec 19}
ZGZ20	ICE Gold 100-oz {Dec 20}
ZGZ21	ICE Gold 100-oz {Dec 21}
ZGZ22	ICE Gold 100-oz {Dec 22}
ZGZ23	ICE Gold 100-oz {Dec 23}
ZGZ24	ICE Gold 100-oz {Dec 24}
ZIF20	ICE Silver 5000-oz {Jan 20}
ZIF21	ICE Silver 5000-oz {Jan 21}
ZIG20	ICE Silver 5000-oz {Feb 20}
ZIH20	ICE Silver 5000-oz {Mar 20}
ZIH21	ICE Silver 5000-oz {Mar 21}
ZIK20	ICE Silver 5000-oz {May 20}
ZIK21	ICE Silver 5000-oz {May 21}
ZIN20	ICE Silver 5000-oz {Jul 20}
ZIN21	ICE Silver 5000-oz {Jul 21}
ZIN22	ICE Silver 5000-oz {Jul 22}
ZIN23	ICE Silver 5000-oz {Jul 23}
ZIN24	ICE Silver 5000-oz {Jul 24}
ZIU20	ICE Silver 5000-oz {Sep 20}
ZIU21	ICE Silver 5000-oz {Sep 21}
ZIZ19	ICE Silver 5000-oz {Dec 19}
ZIZ20	ICE Silver 5000-oz {Dec 20}
ZIZ21	ICE Silver 5000-oz {Dec 21}
ZIZ22	ICE Silver 5000-oz {Dec 22}
ZIZ23	ICE Silver 5000-oz {Dec 23}
ZIZ24	ICE Silver 5000-oz {Dec 24}
ZJ	New Zealand/Yen
ZJH20	New Zealand/Yen {Mar 20}
ZJM20	New Zealand/Yen {Jun 20}
ZJU20	New Zealand/Yen {Sep 20}
ZJZ20	New Zealand/Yen {Dec 20}
ZY	Swiss/Yen
ZYH20	Swiss/Yen {Mar 20}
ZYM20	Swiss/Yen {Jun 20}
ZYU20	Swiss/Yen {Sep 20}
ZYZ20	Swiss/Yen {Dec 20}
